minute_from_start,mean_user_acc_g,median_user_acc_g,p90_user_acc_g,mean_rot_rate,median_rot_rate,p90_rot_rate
0,0.2951,0.2369,0.6218,0.9571,0.7219,2.0543
1,0.2248,0.1725,0.463,0.9048,0.597,2.1349
2,0.2349,0.1844,0.4915,0.7481,0.5697,1.7511
3,0.2138,0.1685,0.4418,0.8178,0.5301,2.0157
4,0.1364,0.0931,0.3169,0.5625,0.2348,1.5361
5,0.2222,0.1705,0.4503,0.6841,0.4373,1.6069
6,0.2358,0.1933,0.4579,0.8558,0.5934,1.8925
7,0.2663,0.2231,0.5292,0.8663,0.6854,1.8956
8,0.1466,0.112,0.3124,0.6929,0.3786,1.8453
9,0.293,0.2288,0.6075,0.846,0.6212,1.9222
10,0.1063,0.0798,0.2175,0.5681,0.3274,1.384
11,0.2416,0.1834,0.515,0.8398,0.5491,2.1659
12,0.2351,0.1758,0.4703,0.6987,0.4681,1.4977
13,0.1501,0.1061,0.3241,0.4701,0.2875,1.1431
14,0.1815,0.1484,0.3577,0.8151,0.4921,2.0277
15,0.2079,0.1489,0.4577,0.8081,0.4696,2.0028
16,0.2612,0.2051,0.5272,0.8374,0.5876,1.9691
17,0.2145,0.1562,0.4536,0.7293,0.4695,1.7768
18,0.1576,0.1056,0.3594,0.6165,0.3937,1.428
19,0.2312,0.1784,0.4866,0.7499,0.5112,1.8315
20,0.1712,0.1414,0.3284,0.5855,0.4927,1.2534
21,0.2151,0.1584,0.4647,0.6588,0.4014,1.4338
22,0.2043,0.1651,0.3852,0.6293,0.4387,1.4041
23,0.194,0.1422,0.4063,0.7627,0.5546,1.5675
24,0.253,0.1879,0.5614,0.6923,0.4763,1.6878
25,0.1911,0.1509,0.3801,0.7759,0.4482,1.9361
26,0.1771,0.1376,0.3721,0.7052,0.4179,1.8787
27,0.2334,0.1713,0.4864,0.7747,0.5068,1.8043
28,0.1918,0.1239,0.4427,0.6471,0.408,1.4773
29,0.1868,0.1434,0.3901,0.8019,0.5262,2.0258
30,0.2194,0.1576,0.4592,0.7675,0.4864,1.8684
31,0.2146,0.1782,0.4162,0.7539,0.5068,1.8919
32,0.1553,0.1014,0.3224,0.5601,0.3746,1.2387
33,0.2184,0.166,0.4493,0.7522,0.4715,1.9219
34,0.1888,0.1488,0.3876,0.7493,0.5833,1.7108
35,0.1958,0.1538,0.409,0.7908,0.4468,2.1651
36,0.2142,0.158,0.4509,0.6318,0.404,1.3001
37,0.1791,0.1442,0.353,0.7247,0.5139,1.6514
38,0.1786,0.122,0.4063,0.7453,0.5105,1.7949
39,0.1752,0.1074,0.4187,0.6639,0.3231,1.8552
40,0.1759,0.1287,0.3878,0.6169,0.2861,1.881
41,0.2187,0.1681,0.4537,0.7072,0.4734,1.5604
42,0.21,0.1711,0.4058,0.6912,0.4046,1.7619
43,0.1699,0.1225,0.3625,0.7051,0.3817,1.6959
44,0.2281,0.1657,0.4792,0.8173,0.4774,2.1433
45,0.1333,0.0837,0.3197,0.4172,0.2897,0.9699
46,0.2266,0.1682,0.4878,0.8061,0.5628,1.808
47,0.1795,0.1328,0.3805,0.758,0.3957,2.0894
48,0.2476,0.1973,0.4764,0.8292,0.5579,1.7976
49,0.2592,0.199,0.5347,0.7099,0.4435,1.6114
