minute_from_start,mean_user_acc_g,median_user_acc_g,p90_user_acc_g,mean_rot_rate,median_rot_rate,p90_rot_rate
0,0.0952,0.0638,0.2178,0.5581,0.2324,1.5648
1,0.2449,0.1888,0.5251,0.8248,0.4973,2.0547
2,0.2556,0.1794,0.566,0.8451,0.6172,1.8197
3,0.19,0.1146,0.4447,0.594,0.3305,1.6248
4,0.1755,0.1419,0.345,0.6562,0.3752,1.5869
5,0.1697,0.13,0.35,0.6323,0.4046,1.7159
6,0.2692,0.2208,0.5202,0.7297,0.5147,1.4353
7,0.182,0.1426,0.3543,0.772,0.4387,1.9573
8,0.2339,0.1812,0.4651,0.6468,0.4086,1.4253
9,0.1953,0.1461,0.4179,0.7332,0.4261,1.7695
10,0.2196,0.173,0.4211,0.6439,0.4505,1.3852
11,0.2742,0.2055,0.5937,0.691,0.4913,1.6167
12,0.1933,0.1504,0.3842,0.8914,0.6379,2.1815
13,0.1975,0.1352,0.4124,0.6147,0.3449,1.6137
14,0.1846,0.1385,0.4006,0.5714,0.3713,1.3903
15,0.2448,0.2091,0.459,0.8701,0.556,2.3103
16,0.1262,0.09,0.2723,0.4401,0.2555,1.078
17,0.1907,0.1352,0.4169,0.6364,0.3445,1.4944
18,0.2334,0.1724,0.4877,0.672,0.4423,1.3965
19,0.1811,0.1342,0.3844,0.5896,0.3592,1.3215
20,0.1735,0.1114,0.408,0.6507,0.4426,1.5409
21,0.2228,0.1864,0.4513,0.6416,0.4047,1.6539
22,0.2176,0.1702,0.4237,0.7185,0.3946,1.9352
23,0.1646,0.1101,0.3654,0.6257,0.4283,1.4251
24,0.2248,0.1754,0.4605,0.7784,0.4688,1.9659
25,0.2368,0.1748,0.5175,0.7092,0.3865,1.8743
26,0.2517,0.1847,0.5467,0.8152,0.477,2.0931
27,0.2386,0.1938,0.4683,0.828,0.5101,2.0169
28,0.2839,0.2319,0.5608,0.8757,0.5544,2.1192
29,0.1992,0.1553,0.4089,0.6711,0.426,1.5468
30,0.1869,0.1412,0.3972,0.663,0.4926,1.5506
31,0.2123,0.1681,0.4396,0.587,0.3953,1.3143
32,0.1885,0.1308,0.3991,0.5208,0.3057,1.3224
33,0.196,0.1525,0.3853,0.6423,0.3873,1.5903
34,0.2212,0.1782,0.4389,0.6253,0.4827,1.3587
35,0.225,0.1587,0.487,0.5726,0.3196,1.5396
36,0.1931,0.1518,0.4005,0.5678,0.3852,1.3597
37,0.1987,0.1502,0.4191,0.6371,0.3693,1.5071
38,0.2072,0.1105,0.3801,1.2409,0.5174,2.2279
